srcidx,srchost,src_address,dstidx,dsthost,dst_address
0,S1,00001010000010000000100010110010,15,S9,11011000001110101101000000101110
1,S6,10000011110010101111000010010110,46,S5,11000111110101000001100010101100
2,S9,10111001000000101101110010001001,11,S6,00001010000010000000100010001010
1,S6,10000011110010101111000010010110,57,S1,01101100101011110010101110010010
3,S7,00011000100111001000001011001011,11,S6,00001010000010000000100010001010
4,S2,10000011110010101111000011110010,6,S8,10000011110010101111000001010111
5,S2,00001010000010000000100010000010,25,S6,11011000001110101101001000001110
0,S1,00001010000010000000100010110010,24,S10,00000010000111100111010000110110
6,S8,10000011110010101111000001010111,87,S10,01101001111011011011000110000100
7,S8,11011000001110101101101111100110,4,S2,10000011110010101111000011110010
8,S2,10000110101010100001001101111100,6,S8,10000011110010101111000001010111
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
6,S8,10000011110010101111000001010111,4,S2,10000011110010101111000011110010
1,S6,10000011110010101111000010010110,55,S6,00010111111010110010100010001111
11,S6,00001010000010000000100010001010,88,S6,01101011000101101111001111101010
12,S5,10101101111111000110010000011011,0,S1,00001010000010000000100010110010
13,S8,11010001100101001100110100101001,11,S6,00001010000010000000100010001010
1,S6,10000011110010101111000010010110,48,S2,01101100101011110010101010110101
5,S2,00001010000010000000100010000010,37,S3,11011000001110101101001000000011
5,S2,00001010000010000000100010000010,37,S3,11011000001110101101001000000011
4,S2,10000011110010101111000011110010,12,S5,10101101111111000110010000011011
11,S6,00001010000010000000100010001010,3,S7,00011000100111001000001011001011
14,S4,00001010000000000000001000001111,89,S7,00011000100011001000011000010101
14,S4,00001010000000000000001000001111,72,S10,10001001011101000010000001001101
0,S1,00001010000010000000100010110010,15,S9,11011000001110101101000000101110
15,S9,11011000001110101101000000101110,0,S1,00001010000010000000100010110010
1,S6,10000011110010101111000010010110,13,S8,11010001100101001100110100101001
11,S6,00001010000010000000100010001010,2,S9,10111001000000101101110010001001
16,S1,11010001100101001100110100100011,11,S6,00001010000010000000100010001010
1,S6,10000011110010101111000010010110,13,S8,11010001100101001100110100101001
17,S8,11011000001110101101000000100011,0,S1,00001010000010000000100010110010
9,S9,11010000011101011111101101110100,11,S6,00001010000010000000100010001010
18,S8,01001010011111011000010100010000,21,S2,00001010000010000000100011101010
19,S10,01000010110111001001110000000010,5,S2,00001010000010000000100010000010
15,S9,11011000001110101101000000101110,0,S1,00001010000010000000100010110010
4,S2,10000011110010101111000011110010,7,S8,11011000001110101101101111100110
18,S8,01001010011111011000010100010000,21,S2,00001010000010000000100011101010
4,S2,10000011110010101111000011110010,40,S7,10011101001110000111111010111100
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
16,S1,11010001100101001100110100100011,1,S6,10000011110010101111000010010110
1,S6,10000011110010101111000010010110,33,S10,01101100101011110010011111001010
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
20,S3,10110010111011010001001011001010,5,S2,00001010000010000000100010000010
21,S2,00001010000010000000100011101010,18,S8,01001010011111011000010100010000
14,S4,00001010000000000000001000001111,10,S6,01001010011111011100111100010000
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
22,S3,00011000001001001010111010101101,14,S4,00001010000000000000001000001111
5,S2,00001010000010000000100010000010,63,S5,10101101110000100100111010111101
23,S10,00001010000010000000100001101110,34,S10,01000000111010011011100000010000
1,S6,10000011110010101111000010010110,58,S3,01101100101011110010101110100001
24,S10,00000010000111100111010000110110,0,S1,00001010000010000000100010110010
6,S8,10000011110010101111000001010111,43,S7,01001010011111010100010100010000
21,S2,00001010000010000000100011101010,65,S2,01001010011111010100011100010000
10,S6,01001010011111011100111100010000,14,S4,00001010000000000000001000001111
0,S1,00001010000010000000100010110010,51,S7,10110010111011010001000101100111
25,S6,11011000001110101101001000001110,5,S2,00001010000010000000100010000010
0,S1,00001010000010000000100010110010,90,S5,10000110101010100001100100011010
1,S6,10000011110010101111000010010110,32,S8,11000111110101000001100010101101
23,S10,00001010000010000000100001101110,34,S10,01000000111010011011100000010000
1,S6,10000011110010101111000010010110,16,S1,11010001100101001100110100100011
16,S1,11010001100101001100110100100011,11,S6,00001010000010000000100010001010
26,S10,10101101110000101101001010111100,4,S2,10000011110010101111000011110010
1,S6,10000011110010101111000010010110,32,S8,11000111110101000001100010101101
0,S1,00001010000010000000100010110010,83,S4,11011000001110101101000000100101
27,S7,01000000111010011011011100010000,14,S4,00001010000000000000001000001111
11,S6,00001010000010000000100010001010,9,S9,11010000011101011111101101110100
28,S8,01000000111010011010011100010000,14,S4,00001010000000000000001000001111
5,S2,00001010000010000000100010000010,19,S10,01000010110111001001110000000010
12,S5,10101101111111000110010000011011,6,S8,10000011110010101111000001010111
1,S6,10000011110010101111000010010110,52,S4,10101101110000100001010001101011
29,S5,11011000001110101101101111001110,1,S6,10000011110010101111000010010110
5,S2,00001010000010000000100010000010,24,S10,00000010000111100111010000110110
30,S6,00111111111101011101100010000110,0,S1,00001010000010000000100010110010
31,S9,10011101001110001100000000110101,5,S2,00001010000010000000100010000010
